Los Angeles Trade-Technical College,Beavers,lattc.edu
Los Angeles Valley College,Valley Glen,lavc.edu
Louisiana Tech University,Bulldogs,Lady Techsters,Ruston (Lincoln Parish),latech.edu
University of Louisiana at Lafayette,Ragin' Cajuns,Lafayette,louisiana.edu
University of Louisiana at Monroe,Warhawks,Monroe,ulm.edu
LSU Tigers and Lady Tigers,Fighting Tigers,Tigers,Lady Tigers,Bayou Bengals,Baton Rouge,lsusports.net
Louisiana State University of Alexandria,Generals,Alexandria,lsua.edu
University of Louisville,Cardinals,Louisville,louisville.edu
Loyola University of Chicago,Ramblers,Chicago,luc.edu
Loyola University Maryland,Greyhounds,Baltimore,loyola.edu
Loyola Marymount University,Lions,Westchester,lmu.edu
Loyola University of New Orleans,Wolf Pack,loyno.edu
Loyola University of Los Angeles,Lions,Westchester,lmu.edu
Lubbock Christian University,Chaparrals,Lady Chaps,Lubbock,lcu.edu
Luther College (Iowa),Norse,Decorah,luther.edu
Lyndon State College,lyndonstate.edu
Lynn University,Fighting Knights,Boca Raton,lynn.edu
Macalester College,Mac,Saint Paul,macalester.edu
MacMurray College,Jacksonville,mac.edu
University of Maine,Black Bears,Orono,umaine.edu
Malone University,Pioneer,Canton,malone.edu
"State College of Florida, Manatee–Sarasota",The Manatees,Bradenton,scf.edu
Manchester College (Indiana),North Manchester,manchester.edu
Manhattan College,Jaspers,Lady Jaspers,The Bronx,manhattan.edu
Mansfield University of Pennsylvania,Mountaineers,Mansfield,mansfield.edu
Marietta College,Pioneers,Marietta,marietta.edu
Marist College,Red Foxes,Poughkeepsie,marist.edu
Marquette University,Milwaukee,marquette.edu
Marshall University,The Thundering Herd,Huntington,marshall.edu
